team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
RtWL/u3PW+sGSqKOG2qzyJSyKe88hJ9pwFeMExJ1We8=,Furious George,,"Vancouver, British Columbia CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=RtWL%2fu3PW%2bsGSqKOG2qzyJSyKe88hJ9pwFeMExJ1We8%3d,11,6,17
5UtKzpEPhDhfjL16WPcDtsuCEZrt/k36eMww0lFsU10=,Fuse,,"Milwaukee , Wisconsin",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=5UtKzpEPhDhfjL16WPcDtsuCEZrt%2fk36eMww0lFsU10%3d,21,10,31
PvTKNLKjQhT877zRLElL6buBjW1LA3jjMZb/fAtTtbM=,Gambit,,"Charlotte, North Carolina",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=PvTKNLKjQhT877zRLElL6buBjW1LA3jjMZb%2ffAtTtbM%3d,2,21,23
T821PTE4cyl45LNOBwDnf9OrzsZUrrBYgmgayLxb+Dc=,Gamble,,"San Marcos, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=T821PTE4cyl45LNOBwDnf9OrzsZUrrBYgmgayLxb%2bDc%3d,24,2,27
S6hbxoAPxtDy5rmzOkqZyv0zWAS4oJPgceYVaUEW86g=,Gang Of Disc,,"New Orleans, Louisiana",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=S6hbxoAPxtDy5rmzOkqZyv0zWAS4oJPgceYVaUEW86g%3d,11,12,23
WSS2d3V4ofi323XdNpeERJ3lzg1Au5Q5NuHZex8Ay/Q=,Garden State Ultimate,,"New Brunswick, New Jersey",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=WSS2d3V4ofi323XdNpeERJ3lzg1Au5Q5NuHZex8Ay%2fQ%3d,15,18,33
eMHN4/tMw/2sWjdaCcsDshyFNBsZkJRDwyCuwjJI9o8=,General Strike,,"Winnipeg, Manitoba CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=eMHN4%2ftMw%2f2sWjdaCcsDshyFNBsZkJRDwyCuwjJI9o8%3d,12,6,18
1jShuEVsYUBSdIIs54enPwm6WkYh/l5dlhR3inNtO34=,GOAT,,"Toronto, Ontario CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=1jShuEVsYUBSdIIs54enPwm6WkYh%2fl5dlhR3inNtO34%3d,14,10,24
UiGX89QSQTjXmbkv9SUQzE0vUtpl1n3Llnks2NsdpAk=,Goonies,,"Minneapolis , Minnesota",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=UiGX89QSQTjXmbkv9SUQzE0vUtpl1n3Llnks2NsdpAk%3d,0,0,0
DyYsvXqGVcr4hMRIKCp35HxHuBZijzX6262Y6ctAoq8=,Grand Trunk,,"Toronto, Ontario CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=DyYsvXqGVcr4hMRIKCp35HxHuBZijzX6262Y6ctAoq8%3d,0,0,0
