team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
oJfUSczLmpt0z08AJXOGOsiQDFeYGf/x3AArq/0pHYY=,Junco,,"Portland, Oregon",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=oJfUSczLmpt0z08AJXOGOsiQDFeYGf%2fx3AArq%2f0pHYY%3d,3,3,6
FksylbCXAlw7Z9pxlPrAe4UeLJFHjfrZl6BNMNkwgdA=,Kansas City Northern Lines,,"Gladstone, Missouri",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=FksylbCXAlw7Z9pxlPrAe4UeLJFHjfrZl6BNMNkwgdA%3d,0,0,0
WBnSSadFsSwef1hpb/SgekD07ELwYWktPdcWjngquJY=,Kansas City Smokestack,,"Kansas City, Missouri",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=WBnSSadFsSwef1hpb%2fSgekD07ELwYWktPdcWjngquJY%3d,5,1,6
H8D3MM/3tVWx7U6XjQI9v3kCmH1iVVRTREiQt4bIfqs=,KFC,,"Stevens Point & Fox Cities, Wisconsin",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=H8D3MM%2f3tVWx7U6XjQI9v3kCmH1iVVRTREiQt4bIfqs%3d,0,0,0
go4xbNI5AJFkqKnpdNAGUX/pV7QU+AGGDAgyD4B3dlE=,Knights of Ni,,"Golden Valley, Minnesota",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=go4xbNI5AJFkqKnpdNAGUX%2fpV7QU%2bAGGDAgyD4B3dlE%3d,0,0,0
uBu93A2Gl5wuLc22G1pPI8lo9J5w47Fai8Nfzt1q274=,Knockout,,"Chicago, Illinois",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=uBu93A2Gl5wuLc22G1pPI8lo9J5w47Fai8Nfzt1q274%3d,0,0,0
ZA5+j1BPAoT3pSIjR8rGQisru2p5hUaFAjifSguuU0I=,L.U.T $ack,,"Lynchburg, Virginia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ZA5%2bj1BPAoT3pSIjR8rGQisru2p5hUaFAjifSguuU0I%3d,3,3,6
Sg6G/J70zEZAYJyUw9OITqu+z1dxmRZYnvTNKsb5XZQ=,Lantern,,"Boston, Massachusetts",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Sg6G%2fJ70zEZAYJyUw9OITqu%2bz1dxmRZYnvTNKsb5XZQ%3d,1,0,1
SUwLxxV2hPCqFd3ap31J/9qtUEJZtBzDUgE2WhH1Ie8=,Lil Heroes,,"Austin, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=SUwLxxV2hPCqFd3ap31J%2f9qtUEJZtBzDUgE2WhH1Ie8%3d,0,0,0
1TdCiOxKEFy7g0kdSVMDokiPjkUUPBSuEE+kH1l/EXg=,Lil’ Huckers,,"South Jordan, Utah",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=1TdCiOxKEFy7g0kdSVMDokiPjkUUPBSuEE%2bkH1l%2fEXg%3d,5,1,6
